Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_27_SwagLab_VerifyCheckoutPage,Edge Chromium 122,,,03-03-2024 16:43:26,03-03-2024 16:44:53,1m - 27.535s,PASSED
,,,,,,,
Test Cases/SauceLabsApp/TC_27_VerifyCheckoutPage,Edge Chromium 122,,,03-03-2024 16:43:27,03-03-2024 16:44:53,1m - 26.546s,PASSED
"callTestCase(findTestCase(""SauceLabsApp/TC_21_LoginWithValidUser""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,03-03-2024 16:43:28,03-03-2024 16:44:09,40.973s,PASSED
"click(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/button_Add to cart""))",Edge Chromium 122,,,03-03-2024 16:44:09,03-03-2024 16:44:11,1.200s,PASSED
"click(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/a_1""))",Edge Chromium 122,,,03-03-2024 16:44:11,03-03-2024 16:44:11,0.939s,PASSED
"click(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/button_Checkout""))",Edge Chromium 122,,,03-03-2024 16:44:11,03-03-2024 16:44:12,0.771s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/span_Checkout Your Information""), ""Checkout: Your Information"")",Edge Chromium 122,,,03-03-2024 16:44:12,03-03-2024 16:44:14,1.880s,PASSED
"setText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/input_Checkout Your Information_firstName""), ""Bruvie"")",Edge Chromium 122,,,03-03-2024 16:44:14,03-03-2024 16:44:15,1.351s,PASSED
"setText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/input_Checkout Your Information_lastName""), ""MArtins"")",Edge Chromium 122,,,03-03-2024 16:44:15,03-03-2024 16:44:17,1.381s,PASSED
"setText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""433333"")",Edge Chromium 122,,,03-03-2024 16:44:17,03-03-2024 16:44:19,2.370s,PASSED
"click(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/input_Cancel_continue""))",Edge Chromium 122,,,03-03-2024 16:44:19,03-03-2024 16:44:21,2.059s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/span_Checkout Overview""), ""Checkout: Overview"")",Edge Chromium 122,,,03-03-2024 16:44:21,03-03-2024 16:44:23,1.732s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/div_Payment Information""), ""Payment Information"")",Edge Chromium 122,,,03-03-2024 16:44:23,03-03-2024 16:44:25,1.638s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/div_Shipping Information""), ""Shipping Information"")",Edge Chromium 122,,,03-03-2024 16:44:25,03-03-2024 16:44:27,1.924s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLab_VerifyCheckoutPage/Page_Swag Labs/div_Price Total""), ""Price Total"")",Edge Chromium 122,,,03-03-2024 16:44:27,03-03-2024 16:44:30,3.330s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 16:44:30,03-03-2024 16:44:53,23.592s,PASSED
