Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_19_LoginAndPurchaseReptiles,Edge Chromium 122,,,09-03-2024 11:32:07,09-03-2024 11:32:49,41.963s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_19_LoginAndPurchaseReptiles,Edge Chromium 122,,,09-03-2024 11:32:07,09-03-2024 11:32:49,41.775s,PASSED
"callTestCase(findTestCase(""PetStoreApp/TC_16_LoginToApp""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,09-03-2024 11:32:08,09-03-2024 11:32:37,28.748s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/img""))",Edge Chromium 122,,,09-03-2024 11:32:37,09-03-2024 11:32:39,2.473s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES"")",Edge Chromium 122,,,09-03-2024 11:32:39,09-03-2024 11:32:39,0.381s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/a_RP-LI-02""))",Edge Chromium 122,,,09-03-2024 11:32:39,09-03-2024 11:32:42,2.569s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,09-03-2024 11:32:42,09-03-2024 11:32:44,1.944s,PASSED
"setText(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/input_true_EST-13""), ""3"")",Edge Chromium 122,,,09-03-2024 11:32:44,09-03-2024 11:32:47,3.191s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/input_Sub Total 18.50_updateCartQuantities""))",Edge Chromium 122,,,09-03-2024 11:32:47,09-03-2024 11:32:48,0.739s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseReptiles/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,09-03-2024 11:32:48,09-03-2024 11:32:49,0.850s,PASSED
closeBrowser(),Edge Chromium 122,,,09-03-2024 11:32:49,09-03-2024 11:32:49,0.524s,PASSED
