Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_18_LoginAndPurchaseDog,Edge Chromium 122,,,03-03-2024 14:30:32,03-03-2024 14:32:22,1m - 50.060s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_18_LoginAndPurchaseDog,Edge Chromium 122,,,03-03-2024 14:30:32,03-03-2024 14:32:22,1m - 49.759s,PASSED
"callTestCase(findTestCase(""PetStoreApp/TC_16_LoginToApp""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,03-03-2024 14:30:33,03-03-2024 14:31:14,41.283s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/img""))",Edge Chromium 122,,,03-03-2024 14:31:14,03-03-2024 14:31:16,2.421s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS"")",Edge Chromium 122,,,03-03-2024 14:31:16,03-03-2024 14:31:17,0.316s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/a_K9-RT-01""))",Edge Chromium 122,,,03-03-2024 14:31:17,03-03-2024 14:31:19,2.619s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 14:31:19,03-03-2024 14:31:24,4.378s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/td""))",Edge Chromium 122,,,03-03-2024 14:31:24,03-03-2024 14:31:26,2.259s,PASSED
"setText(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/input_true_EST-28""), ""5"")",Edge Chromium 122,,,03-03-2024 14:31:26,03-03-2024 14:31:30,4.038s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/input_Sub Total 155.29_updateCartQuantities""))",Edge Chromium 122,,,03-03-2024 14:31:30,03-03-2024 14:31:37,7.145s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/div_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 14:31:37,03-03-2024 14:31:47,10.290s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseDog/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 14:31:47,03-03-2024 14:32:21,33.775s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 14:32:21,03-03-2024 14:32:22,0.768s,PASSED
