Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_20_LoginAndPurchaseBird,Edge Chromium 122,,,09-03-2024 11:32:56,09-03-2024 11:34:23,1m - 27.560s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_20_LoginAndPurchaseBird,Edge Chromium 122,,,09-03-2024 11:32:56,09-03-2024 11:34:23,1m - 27.375s,PASSED
"callTestCase(findTestCase(""PetStoreApp/TC_16_LoginToApp""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,09-03-2024 11:32:56,09-03-2024 11:33:25,28.436s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/img""))",Edge Chromium 122,,,09-03-2024 11:33:25,09-03-2024 11:33:27,2.172s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS"")",Edge Chromium 122,,,09-03-2024 11:33:27,09-03-2024 11:33:27,0.281s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_AV-SB-02""))",Edge Chromium 122,,,09-03-2024 11:33:27,09-03-2024 11:33:29,1.893s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,09-03-2024 11:33:29,09-03-2024 11:33:31,2.003s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/table_Item IDProduct IDDescriptionIn StockQ_89592d""))",Edge Chromium 122,,,09-03-2024 11:33:31,09-03-2024 11:33:33,1.626s,PASSED
"setText(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/input_true_EST-19""), ""35"")",Edge Chromium 122,,,09-03-2024 11:33:33,09-03-2024 11:33:37,3.987s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/input_Sub Total 15.50_updateCartQuantities""))",Edge Chromium 122,,,09-03-2024 11:33:37,09-03-2024 11:34:11,34.241s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 122,,,09-03-2024 11:34:11,09-03-2024 11:34:13,2.048s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/th_Payment Details""), ""Payment Details"")",Edge Chromium 122,,,09-03-2024 11:34:13,09-03-2024 11:34:15,1.697s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/th_Billing Address""), ""Billing Address"")",Edge Chromium 122,,,09-03-2024 11:34:15,09-03-2024 11:34:17,1.959s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/input_Sub Total 15.50_updateCartQuantities""))",Edge Chromium 122,,,09-03-2024 11:34:17,09-03-2024 11:34:19,2.418s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/b_Order""), ""Order"")",Edge Chromium 122,,,09-03-2024 11:34:19,09-03-2024 11:34:21,1.550s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,09-03-2024 11:34:21,09-03-2024 11:34:23,2.341s,PASSED
closeBrowser(),Edge Chromium 122,,,09-03-2024 11:34:23,09-03-2024 11:34:23,0.382s,PASSED
