Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_20_LoginAndPurchaseBird,Edge Chromium 122,,,03-03-2024 14:52:02,03-03-2024 14:52:28,25.501s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_20_LoginAndPurchaseBird,Edge Chromium 122,,,03-03-2024 14:52:03,03-03-2024 14:52:28,25.185s,PASSED
"callTestCase(findTestCase(""PetStoreApp/TC_16_LoginToApp""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,03-03-2024 14:52:03,03-03-2024 14:52:20,16.869s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/img""))",Edge Chromium 122,,,03-03-2024 14:52:20,03-03-2024 14:52:21,0.783s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS"")",Edge Chromium 122,,,03-03-2024 14:52:21,03-03-2024 14:52:21,0.271s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_AV-SB-02""))",Edge Chromium 122,,,03-03-2024 14:52:21,03-03-2024 14:52:22,0.738s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 14:52:22,03-03-2024 14:52:22,0.762s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/table_Item IDProduct IDDescriptionIn StockQ_89592d""))",Edge Chromium 122,,,03-03-2024 14:52:22,03-03-2024 14:52:23,0.442s,PASSED
"setText(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/input_true_EST-19""), ""35"")",Edge Chromium 122,,,03-03-2024 14:52:23,03-03-2024 14:52:24,0.962s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/input_Sub Total 15.50_updateCartQuantities""))",Edge Chromium 122,,,03-03-2024 14:52:24,03-03-2024 14:52:25,0.740s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseBird/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 14:52:25,03-03-2024 14:52:26,1.764s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 14:52:26,03-03-2024 14:52:28,1.316s,PASSED
